Intel Mac OS X 10_15_7,Linux x86_64,8,8,Google Inc. (Google),"ANGLE (Google, Vulkan 1.3.0 (SwiftShader Device (Subzero) (0x0000C0DE)), SwiftShader driver)",800x600,Chrome/108.0.0.0,34.83.203.92,North America,United States,Oregon,The Dalles,Google LLC,Google LLC
Intel Mac OS X 10_15_7,Linux x86_64,8,8,Google Inc. (Google),"ANGLE (Google, Vulkan 1.3.0 (SwiftShader Device (Subzero) (0x0000C0DE)), SwiftShader driver)",800x600,Chrome/108.0.0.0,34.83.203.92,North America,United States,Oregon,The Dalles,Google LLC,Google LLC
CPU iPhone OS 17_5_1 like Mac OS X,iPhone,4,Not Available,Apple Inc.,Apple GPU,428x926,Safari/604.1,2a02:26f7:d6c1:4000:b730:ae59:3efb:a985,Asia,India,Maharashtra,Mumbai,Akamai International B.V.,"Akamai Technologies, Inc."
Intel Mac OS X 10_15_7,Linux x86_64,8,8,Google Inc. (Google),"ANGLE (Google, Vulkan 1.3.0 (SwiftShader Device (Subzero) (0x0000C0DE)), SwiftShader driver)",800x600,Chrome/108.0.0.0,34.83.203.92,North America,United States,Oregon,The Dalles,Google LLC,Google LLC,12.8251017 deg,77.5144705 deg,87.68000030517578 m,728.3999633789062 m,49.07389831542969 deg,0.11323080211877823 m/s
Intel Mac OS X 10_15_7,Linux x86_64,8,8,Google Inc. (Google),"ANGLE (Google, Vulkan 1.3.0 (SwiftShader Device (Subzero) (0x0000C0DE)), SwiftShader driver)",800x600,Chrome/108.0.0.0,34.83.203.92,North America,United States,Oregon,The Dalles,Google LLC,Google LLC,12.8250503 deg,77.5144235 deg,82.5 m,728.7000122070312 m,Not Available,Not Available
Intel Mac OS X 10_15_7,Linux x86_64,8,8,Google Inc. (Google),"ANGLE (Google, Vulkan 1.3.0 (SwiftShader Device (Subzero) (0x0000C0DE)), SwiftShader driver)",800x600,Chrome/108.0.0.0,34.83.203.92,North America,United States,Oregon,The Dalles,Google LLC,Google LLC,12.8252219 deg,77.5143263 deg,13.553999900817871 m,730.800048828125 m,Not Available,Not Available
Intel Mac OS X 10_15_7,Linux x86_64,8,8,Google Inc. (Google),"ANGLE (Google, Vulkan 1.3.0 (SwiftShader Device (Subzero) (0x0000C0DE)), SwiftShader driver)",800x600,Chrome/108.0.0.0,34.83.203.92,North America,United States,Oregon,The Dalles,Google LLC,Google LLC
Android 10,Linux armv81,8,8,Qualcomm,Adreno (TM) 619,360x800,Chrome/126.0.0.0,2409:40f2:1049:e14b:6c3f:3cff:fefc:6ea,Asia,India,Karnataka,Bengaluru,Reliance Jio Infocomm Limited,Reliance Jio Infocomm Limited,12.8253405 deg,77.514506 deg,17.764999389648438 m,739.7000122070312 m,Not Available,Not Available
